,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
20180725_sample_9,0.3177192048954503,26.194574621816482,0.9232197278716222,1.0229051364825141,0.10620042033200619,-5.853650160133839,2.433333333333343,0,-8.122381598999104,0.0,0.006472372633777006,1.1788793103448296,1.1621915015303925,0.41809107235925735,,31.5,12,,0,-68.75472878913085,360.0,,0.5,2.200235266783052
20180817_sample_2,0.014163664534092275,61.555179767310726,0.9390346821920186,0.9980082594112012,0.01570937802810286,-35.74038296937937,0.5000000000000004,0,-13.482154036561703,0.0,1.7536397611033877e-05,1.0879478827361575,1.0050385448818486,0.039693379154111814,,9.266666666666673,44,,0,-73.43237417274052,360.0,,0.9130434782608695,1.1410047135529422
20180817_sample_3,0.020129559069851397,51.75389939298232,0.9212078347881292,0.9973389463879294,0.020746257582904687,-25.535425481696922,0.7999999999999952,0,-11.534737112621468,0.0,3.664644516107385e-05,1.093103448275862,1.006682686662026,0.05611639734828444,,6.433333333333333,43,,0,-60.341241377716266,340.0,,0.9545454545454546,0.9550794619119785
20180817_sample_4,0.2604153297401249,78.72366408507028,0.8359382073518419,0.9891906467552254,0.06558531516595739,-42.54348824421563,0.633333333333333,0,-10.503211369117118,0.0,0.0006376460414797316,1.2918032786885223,1.0376775674978334,0.19338390377189862,,3.7666666666666684,30,,0,-65.44589615902967,200.0,,0.7647058823529411,1.2861457318528293
20190515_sample_6,12.991539171492697,93.57113639513628,0.6671700467471756,0.8572944540704601,0.5934018747899449,-45.35428310434021,0.8666666666666684,0,-4.214718937873862,0.0,0.0021358849582018492,1.0652920962199313,1.1227610387772258,0.3262234996273422,,9.466666666666665,11,,0,-68.89208371150825,80.0,,0.0,1.91887853703921
20190829_sample_6,6.027830187166399,114.08186703920362,0.4052831189530467,0.9613896316853794,0.3413340430219281,-66.3582608103752,2.2666666666666666,0,37.43084799498318,0.0,0.005544997908264188,1.2812499999999998,1.232407552956259,0.4138568085239021,,-0.26666666666666505,14,,1,-61.722124449850526,300.0,,0.4444444444444444,3.0533614630038923
20181116_sample_5,0.03633906522466604,66.97978017230821,0.9070258002413406,0.9966655939049188,0.024664818511744246,-37.822465722759546,0.5333333333333301,0,-12.689445788661665,0.0,0.00011354693195810823,1.1160409556313993,1.011470263977243,0.09484397136484726,,6.966666666666662,39,,0,-61.640226934933,260.0,,0.8571428571428571,1.1305704466766575
20190501_sample_7,0.03616169698209549,69.13404166698449,0.9361592819380754,0.9971462855851869,0.024029359816942458,-34.904498606920114,0.4666666666666569,0,-17.4218813578289,0.0,0.00016935665914221323,1.1821192052980154,1.0132517516732842,0.11185468616464364,,7.000000000000006,37,,0,-66.05560859209962,300.0,,0.85,1.0228709701797372
20190926_sample_5,0.026605617552883775,70.4954651494821,0.9189448693261106,0.9969656764007411,0.020517706344841243,-28.201047331094742,0.633333333333333,0,-15.189471965034812,0.0,3.5330781465751256e-05,1.1456953642384111,1.0093229729405135,0.05308288223937221,,5.8,40,,0,-55.159691513619485,220.0,,1.0,1.3189067030112418
20180515_sample_1,0.014970625855498347,78.78439811368773,0.9464545578452653,0.9976871470058074,0.0142493935545105,-43.666118135054845,0.5666666666666598,0,-15.207070857286524,0.0,5.2059220890703045e-05,1.042622950819673,1.0092221579438918,0.06422454604050606,,9.266666666666673,39,,0,-67.0723900621136,140.0,,0.95,1.1824332181338362
20181121_sample_6,0.5278179607460626,81.35297521948804,0.8830224695706212,0.9837375681960583,0.08877411648650473,-36.62031143903722,0.6666666666666626,0,-11.511165648698913,0.0,0.07995453643578647,1.1271477663230243,1.7892428859359806,1.5285070679881936,,6.000000000000005,13,,0,-66.52614632000525,300.0,,0.3,1.383197076551098
20190708_sample_12,0.9521343596343774,93.45070272684104,0.7853369663510283,0.9674616530124249,0.11080833415750575,-38.71936475237211,0.9333333333333277,0,-6.450338910023369,0.4025717111770525,0.0022341774298813718,1.4403973509933785,1.111456105171609,0.280798619040444,,17.666666666666664,18,,0,-60.11948574272295,40.0,,0.8,2.2826030125135497
20190708_sample_6,0.39642898463250487,89.4733270009359,0.6964691276363748,0.9874245538343456,0.0744529087124012,-39.37133649984998,1.166666666666663,0,-0.37495357294875475,0.0,0.002404678312058099,1.4246153846153822,1.1131538777307937,0.2790951970668442,,19.066666666666663,16,,0,-68.36669737721483,40.0,,0.7777777777777778,2.7443811501850592
