cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20180213_sample_5,1.0,1.5,0.5,2.0,0.5,0.5,2.0,0.5,1.5,0.5,1.0,1.5,0.5,1.0,1.5,1.0,1.5,0.0,0.5,1.0
20180215_sample_1,0.76923077,0.76923077,0.76923077,1.53846154,0.38461538,1.15384615,0.38461538,2.30769231,1.15384615,1.15384615,1.15384615,0.38461538,2.69230769,0.0,0.76923077,0.76923077,1.15384615,0.76923077,1.53846154,0.38461538
20180306_sample_1,1.66666667,0.55555556,1.94444444,1.11111111,1.66666667,1.11111111,1.11111111,1.38888889,0.27777778,0.27777778,0.83333333,1.11111111,0.55555556,0.83333333,1.38888889,0.83333333,0.83333333,0.55555556,1.38888889,0.55555556
20180327_sample_1,1.66666667,0.95238095,0.71428571,1.19047619,0.0,0.71428571,0.47619048,0.71428571,0.71428571,0.95238095,1.66666667,0.71428571,1.19047619,1.9047619,0.95238095,1.42857143,0.71428571,1.19047619,0.95238095,1.19047619
20180327_sample_4,1.02564103,1.02564103,1.02564103,2.05128205,0.0,2.56410256,0.51282051,2.05128205,0.51282051,0.0,1.02564103,1.02564103,0.51282051,0.0,0.51282051,0.0,2.05128205,2.05128205,0.51282051,1.53846154
20180327_sample_5,0.66666667,0.66666667,0.66666667,1.66666667,0.33333333,0.33333333,0.33333333,1.33333333,0.33333333,2.66666667,1.0,1.0,0.33333333,2.66666667,0.66666667,0.66666667,0.33333333,2.0,1.33333333,1.0
20180404_sample_2,0.8490566,0.8490566,0.75471698,0.8490566,1.41509434,1.03773585,1.32075472,0.8490566,1.03773585,1.03773585,1.13207547,0.8490566,0.37735849,1.03773585,0.94339623,1.32075472,1.41509434,0.37735849,1.60377358,0.94339623
20180404_sample_5,0.45454545,0.68181818,1.59090909,0.90909091,1.36363636,0.68181818,0.45454545,1.13636364,1.36363636,0.45454545,1.13636364,0.68181818,0.22727273,1.13636364,0.90909091,0.68181818,2.72727273,1.13636364,1.13636364,1.13636364
20180410_sample_9,0.96,1.44,1.28,1.92,0.96,1.44,0.96,0.8,1.28,0.8,0.96,0.96,0.8,0.64,0.48,0.48,0.8,1.12,0.48,1.44
20180411_sample_4,0.52631579,1.31578947,1.05263158,1.57894737,0.0,1.31578947,1.31578947,1.31578947,1.05263158,0.52631579,1.84210526,0.52631579,2.10526316,0.26315789,0.78947368,0.52631579,1.31578947,0.52631579,0.78947368,1.31578947
20180411_sample_5,0.9375,0.3125,0.3125,1.25,0.9375,2.5,0.9375,0.9375,0.625,0.3125,0.9375,0.3125,0.3125,2.1875,1.25,0.625,1.5625,1.25,1.875,0.625
20180417_sample_1,0.42553191,0.63829787,2.12765957,2.34042553,1.91489362,1.27659574,1.4893617,0.63829787,0.0,0.21276596,0.0,1.06382979,1.06382979,1.06382979,1.4893617,1.27659574,0.21276596,1.27659574,0.85106383,0.63829787
20180510_sample_2,1.73913043,1.24223602,1.61490683,1.36645963,1.11801242,1.24223602,0.62111801,0.62111801,1.49068323,0.62111801,0.86956522,0.74534161,0.86956522,0.99378882,0.62111801,0.49689441,0.74534161,1.24223602,0.86956522,0.86956522
20180515_sample_1,0.95238095,0.95238095,0.0,0.0,1.9047619,0.95238095,0.0,1.9047619,0.95238095,1.9047619,0.0,0.0,0.0,1.9047619,0.0,1.9047619,1.9047619,0.0,2.85714286,1.9047619
20180524_sample_9,0.76923077,1.53846154,0.76923077,0.76923077,0.76923077,0.0,2.30769231,0.76923077,3.07692308,0.0,0.0,0.0,2.30769231,0.76923077,0.76923077,0.76923077,0.0,1.53846154,1.53846154,1.53846154
20180621_sample_7,0.0,1.29032258,1.29032258,1.29032258,1.29032258,1.93548387,0.0,1.93548387,0.64516129,0.0,1.93548387,0.64516129,0.0,0.64516129,0.64516129,1.93548387,1.93548387,0.64516129,0.0,1.93548387
20180628_sample_2,1.53846154,0.76923077,1.28205128,1.28205128,0.25641026,0.51282051,0.76923077,0.51282051,1.02564103,0.76923077,1.79487179,1.28205128,0.25641026,1.79487179,1.02564103,0.76923077,1.28205128,1.02564103,1.02564103,1.02564103
20180704_sample_5,1.51515152,0.60606061,0.60606061,0.60606061,1.21212121,2.12121212,0.60606061,0.90909091,1.21212121,1.21212121,0.90909091,0.3030303,0.60606061,1.21212121,1.21212121,1.81818182,0.3030303,1.21212121,1.21212121,0.60606061
20180705_sample_1,0.0,1.09090909,0.36363636,0.36363636,0.36363636,1.09090909,1.81818182,2.18181818,1.45454545,1.81818182,0.36363636,0.0,1.09090909,1.81818182,0.72727273,0.36363636,0.72727273,2.54545455,1.09090909,0.72727273
