,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
601506507,1.2254362027204098,70.97917175292969,0.8595538518501497,0.9274210158360194,0.14900926428633937,-34.822917938232365,0.633333333333333,0.0,-11.63541539510097,0.0,0.0004304548071387435,0.9966996699669971,1.0980408471971597,0.18290718089854943,,17.633333333333333,7,,0,-73.18861788092718,110.0,,0.0,2.940962390340889
601803754,0.8337193460771805,71.30208333333383,1.1577794188561312,0.9714708359668931,0.1088148733998197,-34.71875,0.40000000000001146,4.052087148030658,-15.989587148030658,0.0,0.05211187382845322,11.426136363636354,6.451506769585457,0.6743355195438246,,69.89999999999999,4,,0,-65.84896200052897,110.0,,,2.021133905593347
601808698,0.831815405398072,72.34375572204578,0.955075562352359,0.9809001102758051,0.11958567497411286,-46.84375381469716,0.3666666666666679,0.0,-12.427083333333435,0.0,0.04430963849559673,1.0925266903914592,1.4351738174394315,1.1230250025806012,,9.400000000000006,14,,0,-67.11441379208036,150.0,,0.5555555555555556,1.9102844481355987
601810307,0.20844669475852648,64.81250190734724,0.9423014928471111,0.9937104206300561,0.06239049671273077,-33.65625,0.2999999999999947,0.0,-20.75,0.0,0.00013111745096836165,1.0279720279720264,1.0154380287448908,0.09886393854110354,,8.999999999999995,37,,0,-65.4964859330919,249.99998,,0.85,1.6711682650023434
601811091,0.014516461545504991,46.54167111714682,1.0069381447682977,0.9989736048158375,0.017891796816055766,-37.031253814697266,0.6000000000000033,0.0,-14.093746185302734,0.0,0.00020482776573342397,1.082386363636364,1.015874216123175,0.11354364593776338,,9.599999999999998,31,,0,-67.72923361884223,190.0,,0.8235294117647058,2.5159901174262123
602231708,3.099218278438558,75.06250127156582,0.8633084072851672,0.8530558251635025,0.23510558444359375,-51.125,0.633333333333333,0.0,-10.156253814697266,0.0,0.012305815160955351,1.3018181818181802,1.694755890267257,0.7583126608684756,,7.699999999999998,6,,0,-74.06570531039769,110.0,,0.0,2.197480498646763
602535278,0.16739115747412545,44.69791666666669,0.9524587232509245,0.9927568083506754,0.0673571212102244,-42.65625,0.533333333333344,0.0,-10.135419209798187,0.0,0.0007096808847493495,0.9317406143344714,1.028921577515765,0.21070152879717174,,9.499999999999995,31,,0,-70.40967627292208,249.99998,,0.7222222222222222,2.0876539796557454
604646725,2.4839020794236712,68.41666984558104,0.7903471194999248,0.8221701584815122,0.21963247477569292,-40.51041793823241,0.6000000000000033,0.0,-7.895835876464922,0.0,0.0005460511774207228,1.366972477064219,1.2796831065410577,0.19390996808157226,,10.966666666666667,4,,0,-70.16917134857178,150.0,,,2.755858498623546
605060256,1.0276288916705096,56.29166666666641,0.7816432611224063,0.8453670979142673,0.1482391225264706,-41.91666666666656,0.8666666666666684,0.0,1.0104166666666003,0.0,0.0017477759696229965,1.8252873563218381,1.8252873563218381,0.2921074043938159,,6.766666666666671,3,,0,-68.17077368333605,230.0,,,3.3025793182223517
605160536,0.1502002958485875,55.64583524068198,0.9599400644383587,0.9633694903605564,0.05406928954111414,-37.28124999999996,0.5999999999999894,0.0,-7.854167938232408,0.0,0.014315702726186595,1.3978873239436658,1.8988728781535382,0.7481669414541857,,52.33333333333334,5,,0,-65.72861061604817,40.0,,,3.2196561043882337
606098116,0.01960272701735729,43.7187509536744,1.0252561202412636,1.000834627340913,0.02094013100348165,-32.343750000000085,0.3666666666666818,0.0,-20.760419209798123,0.0,0.0002023667963541373,0.9070567986230639,1.0106915980593196,0.10031673978766094,,53.533333333333324,23,,0,-74.09477090538873,420.0,,1.0909090909090908,1.5990727343073636
606271263,0.11263920317324973,64.27083333333334,0.9238249891580985,0.9960437357514079,0.044830332170997814,-42.895833333333336,0.33333333333333826,0.0,-16.625002543131522,0.0,0.00011795913107304711,1.0652173913043497,1.0126543736385325,0.09999646141907656,,9.633333333333328,42,,0,-71.71122621070015,190.0,,0.9090909090909091,1.2352013185748851
606308411,0.13080790707314555,64.01041857401526,0.9000813600098538,0.9943430918446471,0.04900746858217134,-39.093751271565715,0.26666666666667893,0.0,-15.760417938232465,0.0,0.0003002571880770252,1.0467625899280584,1.0213860506246504,0.1464887839869668,,9.566666666666668,35,,0,-72.67583322906493,270.0,,0.8421052631578947,1.5471848893954108
614728680,0.15841166396323855,43.5937499999998,0.9935484016810441,0.9355669015408987,0.061679949293280883,-29.593749999999805,0.2333333333333354,0.0,-24.041670481364125,0.0,0.00011033434650456003,1.222972972972974,1.222972972972974,0.1003039513677815,,11.800000000000004,3,,0,-69.2474406399197,400.0,,,1.186111614258315
623326230,0.13517404718713608,64.58333905537923,0.9408064273242742,0.9913163497604587,0.04899143340452634,-21.489585240681965,0.3666666666666679,0.0,-17.958333969116214,0.0,0.0003597426428771832,1.095864661654135,1.0255866384413372,0.12153667990076907,,19.03333333333333,20,,0,-66.54369736056857,330.0,,0.8181818181818182,1.7540516125185164
623415197,0.012982162784943659,40.781249999999915,0.9532567049808413,0.9988080414575639,0.018306713501621923,-42.09374999999998,0.4333333333333411,0.0,-12.708337148030623,0.0,3.094282344860682e-05,0.9755244755244739,1.0000313470797124,0.059471033937937054,,6.166666666666668,57,,0,-71.07600950961643,270.0,,0.9655172413793104,1.9119366032580285
623434306,0.18154072607347865,66.87500254313149,0.9440810465463962,0.9928221637586321,0.056480272422801125,-41.31250254313149,0.4666666666666569,0.0,-14.437497456868513,0.0,0.00039297575199508886,1.149006622516555,1.026555626228303,0.15628591892020668,,10.466666666666665,31,,0,-71.214180041843,210.0,,0.8235294117647058,1.9390409737822982
626153003,0.9777420832920226,79.44792111714666,0.935230123212666,0.9485044979716072,0.12138546398511281,-48.28125381469718,0.40000000000001146,0.0,-13.156250000000085,0.0,0.05662465351542742,1.7906137184115527,2.240980950936125,1.1352870945929643,,8.300000000000002,6,,0,-69.13246863725449,210.0,,0.0,1.8932780743833415
627881581,1.1983675116055,70.84375190734795,0.9017791258461024,0.9353267817107701,0.1457884338551599,-39.81249999999983,0.40000000000001146,0.0,-14.208335876465028,0.0,0.0009865202730487699,1.2544169611307419,1.162864728993855,0.2563578304103921,,12.200000000000003,7,,0,-67.1535932574802,230.0,,0.0,1.9129310818426934
