specimen_id,met_type
601506507,Vip-MET-2
601803754,Sst-MET-3
601808698,Sst-MET-8
601810307,Sst-MET-3
601811091,Sst-MET-13
602231708,Sst-MET-4
602535278,Sst-MET-3
604646725,Vip-MET-1
605060256,Vip-MET-4
605160536,Vip-MET-5
606098116,Pvalb-MET-4
606271263,Pvalb-MET-5
606308411,Pvalb-MET-5
614728680,Pvalb-MET-4
623326230,Sst-MET-2
623415197,Pvalb-MET-4
623434306,Sst-MET-2
626153003,Sst-MET-12
627881581,Sst-MET-8
637846989,Lamp5-MET-1
639004612,Vip-MET-1
639013022,Vip-MET-1
639674270,Vip-MET-3
639708328,Sst-MET-12
639797308,Pvalb-MET-4
639809582,Sst-MET-12
639841063,Sst-MET-8
639862877,Sst-MET-8
639881631,Sst-MET-5
639893239,Sst-MET-12
639962984,Sst-MET-2
640061596,Sst-MET-1
640111844,Sst-MET-12
640280740,Vip-MET-4
642124659,Lamp5-MET-1
643536919,Sncg-MET-1
643727497,Sst-MET-1
643754730,Sst-MET-1
644571405,Pvalb-MET-2
644920227,Vip-MET-5
644994103,Lamp5-MET-1
645012440,Sst-MET-6
645057881,Sst-MET-4
645169930,Lamp5-MET-1
645322005,Sst-MET-12
645355846,Pvalb-MET-2
646805498,Pvalb-MET-4
646852171,Pvalb-MET-4
648139266,Vip-MET-2
648582997,Lamp5-MET-1
649387261,Sst-MET-5
652299236,Pvalb-MET-4
652300499,Lamp5-MET-1
652305423,Lamp5-MET-1
652306478,Pvalb-MET-2
652516963,Sncg-MET-2
652533530,Sst-MET-12
652812484,Lamp5-MET-1
653327513,Pvalb-MET-2
653699672,Sst-MET-8
656156755,Sst-MET-8
656705176,Sst-MET-1
656706125,Pvalb-MET-4
656901554,Sst-MET-7
657184390,Vip-MET-2
657442490,Sst-MET-7
657454163,Sst-MET-8
657661669,Sst-MET-12
657661984,Sst-MET-8
657857340,Sst-MET-4
657858349,Sst-MET-6
657983207,Sst-MET-12
657984709,Pvalb-MET-2
657985196,Sst-MET-12
657999088,Sst-MET-3
658012080,Sst-MET-12
658447323,Vip-MET-5
659012847,Pvalb-MET-2
659405820,Sst-MET-12
659405868,Sst-MET-1
659413418,Sst-MET-12
659697295,Lamp5-MET-1
660050258,Sst-MET-6
661189529,Sst-MET-9
661318431,Sst-MET-12
661319074,Sst-MET-9
661422439,Vip-MET-2
661492805,Sst-MET-4
663193112,Pvalb-MET-3
666141992,Pvalb-MET-4
667473785,Sst-MET-12
667492234,Lamp5-MET-1
668176228,Sst-MET-12
668337999,Sst-MET-2
668464797,Vip-MET-1
669047778,Sst-MET-12
669072736,Pvalb-MET-1
669074640,Sst-MET-3
669165397,Sst-MET-9
669523148,Lamp5-MET-1
669825289,Sst-MET-2
669838950,Pvalb-MET-4
670091720,Pvalb-MET-4
670340941,Sst-MET-1
673132928,Sst-MET-6
673395815,Sst-MET-12
673427380,Sst-MET-6
674069192,Sst-MET-3
674495385,Sst-MET-9
679457550,Sst-MET-13
679899997,Sst-MET-3
679932490,Pvalb-MET-4
680027413,Vip-MET-4
680108584,Pvalb-MET-1
681793778,Vip-MET-5
682332013,Pvalb-MET-3
682454193,Pvalb-MET-4
683899155,Sst-MET-4
685624703,Sst-MET-12
685636842,Sst-MET-12
685707621,Pvalb-MET-2
687907602,Sst-MET-6
688115867,Sst-MET-10
688145929,Pvalb-MET-2
688958418,Sst-MET-8
689030611,Pvalb-MET-2
689098357,Sst-MET-12
689280134,Pvalb-MET-1
689656936,Sst-MET-3
691511791,Vip-MET-2
691665864,Lamp5-MET-1
691685873,Lamp5-MET-1
691719142,Vip-MET-4
692015490,Sst-MET-10
692044280,Sst-MET-13
692286150,Vip-MET-4
692310663,Sst-MET-6
692565557,Sst-MET-13
692777680,Vip-MET-5
692821749,Pvalb-MET-2
692824134,Pvalb-MET-4
692846027,Pvalb-MET-2
693009119,Sst-MET-13
693085460,Sst-MET-7
694146546,Vip-MET-2
694162255,Sst-MET-13
694183636,Vip-MET-5
694220357,Pvalb-MET-2
694419620,Pvalb-MET-1
694437359,Pvalb-MET-1
694689662,Vip-MET-2
694734857,Vip-MET-4
696115308,Vip-MET-4
697502029,Sst-MET-10
697787349,Pvalb-MET-2
697795277,Pvalb-MET-2
697799017,Vip-MET-4
697810838,Vip-MET-5
698042345,Pvalb-MET-2
698086962,Pvalb-MET-4
698570301,Pvalb-MET-4
698586385,Pvalb-MET-2
699448311,Pvalb-MET-4
700390241,Vip-MET-2
700413526,Vip-MET-3
701075567,Sst-MET-1
701140434,Pvalb-MET-2
702051128,Sst-MET-13
703283610,Sst-MET-12
703565379,Pvalb-MET-2
704047023,Sst-MET-4
705217315,Sst-MET-9
705278421,Sst-MET-2
705570328,Sst-MET-5
705817510,Sst-MET-5
707162377,Sst-MET-12
707179690,Sst-MET-1
707403326,Sst-MET-8
707424705,Sst-MET-12
707666779,Lamp5-MET-1
708221965,Sst-MET-12
709153201,Pvalb-MET-2
709219898,Vip-MET-1
710338421,Sst-MET-12
710730520,Sst-MET-2
710784375,Sst-MET-3
710920450,Sst-MET-7
711212623,Sst-MET-12
711464852,Sst-MET-1
711483278,Lamp5-MET-2
711528753,Sst-MET-1
711571947,Sst-MET-12
711770582,Sst-MET-3
711903629,Sst-MET-5
713132614,Sst-MET-3
713442456,Sst-MET-8
714046701,Pvalb-MET-4
714228701,Pvalb-MET-3
714485370,Sncg-MET-1
714601733,Pvalb-MET-2
714755043,Sncg-MET-1
714936352,Sncg-MET-1
715159651,Vip-MET-1
716298521,Sncg-MET-1
716832846,Lamp5-MET-1
717637005,Lamp5-MET-1
717675736,Lamp5-MET-1
718135969,Sst-MET-12
718188717,Pvalb-MET-2
718195284,Sst-MET-13
718202813,Sst-MET-12
